A.Parc.;Parc;n;DAP ;Ht;Hdom
720;261;28;17,19;13,62;
720;261;29;6,37;8,06;
720;261;30;15,22;12,77;
720;261;31;16,46;13,31;
720;261;32;4,42;6,65;
720;261;33;18,33;14,10;
720;261;34;18,05;13,98;
720;261;35;18,84;14,30;
720;261;36;17,63;13,81;
720;261;37;15,92;13,08;
720;261;38;16,93;13,52;
720;261;39;17,09;13,58;
720;261;40;17,67;13,82;
720;261;41;17,48;13,74;
720;261;42;16,62;13,38;
720;261;43;16,71;13,42;
720;261;44;14,96;12,66;
720;261;45;19,13;14,42;
720;261;46;18,88;14,31;
720;261;47;19,26;14,47;
720;261;48;18,30;14,08;
720;261;49;14,61;12,50;
720;261;50;16,11;13,16;
720;261;51;;;
720;261;52;;;
720;261;53;;;
720;261;54;;;
720;261;55;;;
720;261;56;;;
720;261;57;;;
720;261;58;;;
720;261;59;;;
720;261;60;;;
720;262;1;14,93;12,65;
720;262;2;14,87;12,62;
720;262;3;16,46;13,31;
720;262;4;;;
720;262;5;11,71;11,13;
720;262;6;16,49;13,33;
720;262;7;15,79;13,03;
720;262;8;;;
720;262;9;17,09;13,58;
720;262;10;14,32;12,37;
720;262;11;;;
720;262;12;;;
720;262;13;;;
720;262;14;;;
720;262;15;;;
720;262;16;;;
720;262;17;;;
720;262;18;;;
720;262;19;;;
720;262;20;;;
720;262;21;16,49;13,33;
720;262;22;14,29;12,36;
720;262;23;14,83;12,60;
720;262;24;14,07;12,26;
720;262;25;15,41;12,86;
720;262;26;14,55;12,47;
720;262;27;14,96;12,66;
720;262;28;16,11;13,16;
720;262;29;15,18;12,76;
720;262;30;;;
720;262;31;;;
720;262;32;16,01;13,12;
720;262;33;15,95;13,10;
720;262;34;14,01;12,23;
720;262;35;15,28;12,80;
720;262;36;;;
720;262;37;14,51;12,46;
720;262;38;15,53;12,91;
720;262;39;14,71;12,55;
720;262;40;15,95;13,10;
720;262;41;15,60;12,94;
720;262;42;14,83;12,60;
720;262;43;14,13;12,29;
720;262;44;14,36;12,39;
720;262;45;13,85;12,15;
720;262;46;14,77;12,58;
720;262;47;12,89;11,70;
720;262;48;15,57;12,93;
720;262;49;15,12;12,73;
720;262;50;;;
